Team,Rank,ExpectedTotal,CalculatedTotal,Difference,Status
LG,1,97,97,0,MATCH
Virtus.pro,2,66,66,0,MATCH
NOEZ FOXX,3,58,58,0,MATCH
Legion Gaming,4,47,47,0,MATCH
Unleash,5,45,45,0,MATCH
SGB,6,44,44,0,MATCH
DXAEsports,7,41,41,0,MATCH
F.W.G,8,40,40,0,MATCH
EXO Clan,9,34,34,0,MATCH
RTS,10,31,31,0,MATCH
O2esports,11,30,30,0,MATCH
SOTEN,12,30,30,0,MATCH
Team Nemesis,13,22,22,0,MATCH
No Surrender,14,13,13,0,MATCH
Most Hated,15,12,12,0,MATCH
Oxygen None arEa,16,12,12,0,MATCH
Virtue,17,11,11,0,MATCH
RIDDLE ORDER,18,3,3,0,MATCH