Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Cloud9,20,12,18,6,8,7,71
SR,11,22,3,14,9,10,69
FNATIC,8,5,22,12,4,15,66
NRG,22,8,7,4,13,5,59
LG,6,15,12,8,11,6,58
TSM,4,9,14,22,3,4,56
100T,15,3,5,9,16,8,56
Virtus.pro,9,11,8,7,6,12,53
FaZe Clan,13,6,9,5,10,9,52
Complexity,7,14,4,11,2,11,49
VK Gaming,12,4,6,3,14,7,46
disguised,3,7,11,10,5,2,38
GUILD,5,8,1,6,9,8,37
Meteor,10,2,10,1,7,3,33
Exo Clan,1,10,2,13,6,1,33
SOURCE XNY,2,1,15,0,4,9,31
Oblivion,14,0,0,2,1,6,23
GREEN STEGO,0,4,3,5,0,10,22
shadow3690,0,3,0,8,7,1,19
DRAGONS,0,0,4,0,12,0,16